#ZSP	IVOO	VIOO	ZCN	VEE	VIU	ZAG	VBG	VBU	HEP
36.110001	118.129997	128.029999	20.940001	33.169998	28.25	16	26.780001	25.08	26.280001
35.75	118.559998	128.990005	20.83	32.700001	27.93	15.94	26.790001	25.09	25.73
35.639999	118.650002	128.710007	20.83	32.599998	27.99	15.88	26.76	25.1	25.76
35.650002	119.459999	129.190002	20.559999	32.59	27.940001	15.93	26.84	25.18	25.08
35.610001	118.900002	128.539993	20.540001	32.43	27.74	15.93	26.84	25.129999	24.73
35.509998	118.339996	127.68	20.610001	32.389999	27.85	15.95	26.790001	25.18	24.639999
35.790001	118.330002	127.379997	20.68	32.59	27.99	15.93	26.790001	25.15	24.549999
35.700001	119.099998	127.970001	20.52	32.310001	27.809999	15.97	26.799999	25.190001	24.450001
35.830002	117.779999	126.449997	20.52	32.380001	27.59	15.99	26.799999	25.190001	24.629999
35.59	117.099998	125.800003	20.629999	32.330002	27.450001	15.99	26.860001	25.200001	25.120001
35.73	117.260002	126.360001	20.77	32.48	27.540001	16.01	26.85	25.219999	25.5
35.68	117.739998	127.400002	20.77	32.779999	27.6	16.030001	26.84	25.32	25.33
35.040001	118.150002	127.510002	20.59	32.259998	27.4	15.91	26.73	25.15	24.940001
34.98	117.239998	126.610001	20.68	32.119999	27.389999	15.86	26.795	25.25	24.799999
34.639999	118.150002	128.490005	20.5	31.700001	27	15.8	26.610001	25.110001	24.15
34.580002	117.389999	127.870003	20.459999	31.84	27.1	15.79	26.59	25.059999	24.15
34.540001	117.480003	127.809998	20.389999	31.84	26.84	15.68	26.59	25.07	23.700001
34.740002	118.339996	128.949997	20.43	31.93	26.959999	15.71	26.540001	24.950001	23.57
34.400002	117.940002	128.089996	20.33	31.58	26.76	15.7	26.459999	24.950001	23.690001
34.400002	116.480003	126.32	20.25	31.43	26.700001	15.64	26.43	24.93	23.15
34.48	117.68	127.739998	20.370001	31.690001	26.73	15.64	26.48	24.969999	23.66
34.5	117.410004	127.010002	20.41	32	26.860001	15.64	26.459999	24.969999	23.92
34.25	117.449997	127.169998	20.42	32.119999	26.719999	15.66	26.52	25.030001	23.77
34.290001	118.330002	128.289993	20.4	32.220001	26.77	15.61	26.51	24.98	23.42
34.240002	118.410004	128.570007	20.459999	32.380001	26.83	15.65	26.459999	25	23.690001
34.330002	118.849998	128.800003	20.440001	32.279999	26.83	15.64	26.530001	25.01	23.950001
34.189999	119.040001	129.220001	20.43	32.139999	26.75	15.66	26.57	25.08	24.030001
34.290001	118.660004	128.830002	20.559999	32.41	26.82	15.64	26.58	25.110001	24.040001
34.27	119.790001	130.279999	20.59	32.330002	26.879999	15.65	26.559999	25.120001	24.15
